player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Mond",VnzuRuUJp5,2025-02-18T05:28:06.419Z,2025-02-18T05:49:08.739Z,2000,1295,0,-705
"Mond",VnzuRuUJp5,2025-02-18T05:21:30.168Z,2025-02-18T05:27:05.924Z,2000,0,0,-2000
"Glenny",_ID7L-y9Ic,2025-02-18T04:50:29.072Z,,3000,,2298,-702
"ieff",FMYFFNvVDL,2025-02-18T04:17:54.927Z,2025-02-18T05:49:08.731Z,2000,0,0,-2000
"Kyle",GnKjEIhrHH,2025-02-18T04:09:40.960Z,2025-02-18T04:56:42.593Z,2000,0,0,-2000
"Eli",LH8nHm5kCv,2025-02-18T04:09:08.358Z,2025-02-18T05:21:30.163Z,2000,0,0,-2000
"Kyle",GnKjEIhrHH,2025-02-18T03:53:09.703Z,2025-02-18T04:09:08.354Z,2000,0,0,-2000
"The Senate",mNthJN1uv8,2025-02-18T03:39:25.150Z,2025-02-18T04:41:30.406Z,2000,0,0,-2000
"addison",qMIK5KsKxr,2025-02-18T03:23:58.920Z,2025-02-18T04:44:19.043Z,2000,2047,0,47
"addison",qMIK5KsKxr,2025-02-18T03:07:49.421Z,2025-02-18T03:18:31.788Z,2000,0,0,-2000
"joshy",sWbFzgCRRa,2025-02-18T03:05:50.600Z,,2000,,5329,3329
"Nick",23ejw2m6D-,2025-02-18T03:05:50.574Z,,3500,,3899,399
"The Senate",mNthJN1uv8,2025-02-18T03:05:50.598Z,2025-02-18T03:38:46.699Z,2000,0,0,-2000
"Glenny",_ID7L-y9Ic,2025-02-18T03:05:50.589Z,2025-02-18T04:48:48.035Z,2000,0,0,-2000
"larry",0D790GTBvz,2025-02-18T03:05:50.583Z,2025-02-18T04:05:23.373Z,2000,2460,0,460
"Gob",_3BjyNkP45,2025-02-18T03:05:50.595Z,,3200,,5901,2701
"edwin",9M0NBGM9an,2025-02-18T03:05:50.567Z,,2000,,14471,12471
