player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tyler",Gx5KZdldWM,2025-02-17T04:19:18.841Z,,2000,,2865,865
"Gob",Q5QT7x8NUm,2025-02-17T04:00:46.617Z,,3000,,1235,-1765
"Kyle",jclMM_b-US,2025-02-17T03:51:32.094Z,2025-02-17T04:30:55.083Z,2000,3070,0,1070
"Mond",VnzuRuUJp5,2025-02-17T03:36:39.779Z,2025-02-17T04:11:32.392Z,2000,0,0,-2000
"joshy",sWbFzgCRRa,2025-02-17T03:36:00.585Z,,4000,,3560,-440
"Tyler",Gx5KZdldWM,2025-02-17T02:54:12.813Z,2025-02-17T04:17:35.767Z,2000,0,0,-2000
"addison",qMIK5KsKxr,2025-02-17T02:52:20.434Z,,2000,,4900,2900
"edwin",M8D9HPGuve,2025-02-17T02:46:07.320Z,2025-02-17T04:32:07.068Z,4000,10231,0,6231
"ieff",FMYFFNvVDL,2025-02-17T02:36:54.296Z,2025-02-17T03:27:45.582Z,2000,726,0,-1274
"Glenny",_ID7L-y9Ic,2025-02-17T02:29:03.903Z,2025-02-17T04:00:46.611Z,2000,2060,0,60
"joshy",sWbFzgCRRa,2025-02-17T02:29:03.915Z,2025-02-17T03:33:51.998Z,2000,0,0,-2000
"larry",0D790GTBvz,2025-02-17T02:29:03.931Z,2025-02-17T04:32:07.060Z,2000,7752,0,5752
"addison",qMIK5KsKxr,2025-02-17T02:29:03.906Z,2025-02-17T02:51:28.024Z,2000,0,0,-2000
"larry",0D790GTBvz,,2025-02-17T02:28:23.918Z,2000,2000,0,0
"Eli",LH8nHm5kCv,2025-02-17T02:29:03.934Z,2025-02-17T03:19:34.498Z,2000,3851,0,1851
"edwin",M8D9HPGuve,2025-02-17T02:29:03.920Z,2025-02-17T02:45:17.362Z,2000,0,0,-2000
"Gob",Q5QT7x8NUm,2025-02-17T02:29:03.926Z,2025-02-17T03:59:37.510Z,5670,0,0,-5670
"Nick",23ejw2m6D-,2025-02-17T02:29:03.939Z,,2000,,2420,420
