player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ieff",FMYFFNvVDL,2025-02-13T05:14:23.880Z,2025-02-13T05:28:09.427Z,3000,6515,0,3515
"Kyle",jclMM_b-US,2025-02-13T04:49:12.628Z,2025-02-13T05:28:03.909Z,2000,5840,0,3840
"glenny",O4o2WcWz3Z,2025-02-13T04:23:28.765Z,2025-02-13T04:44:28.718Z,3500,0,0,-3500
"edwin",9M0NBGM9an,2025-02-13T04:17:44.363Z,2025-02-13T04:58:46.208Z,2000,6923,0,4923
"mond",VnzuRuUJp5,2025-02-13T04:02:02.291Z,2025-02-13T05:16:56.706Z,5000,3885,0,-1115
"The Senate",ArJnWs8BqK,2025-02-13T03:40:47.787Z,2025-02-13T04:32:54.235Z,2000,14209,0,12209
"The Senate",ArJnWs8BqK,2025-02-13T03:33:18.650Z,2025-02-13T03:39:53.382Z,2000,1970,0,-30
"larry",0D790GTBvz,2025-02-13T03:30:53.258Z,2025-02-13T04:09:26.924Z,2000,3786,0,1786
"kris",fGhIPOgWCx,2025-02-13T03:19:34.597Z,2025-02-13T05:18:46.429Z,8020,1395,0,-6625
"Eli",zx3OiOhUJQ,2025-02-13T03:13:07.877Z,2025-02-13T03:16:57.878Z,2000,0,0,-2000
"ieff",FMYFFNvVDL,2025-02-13T03:13:07.862Z,2025-02-13T03:52:28.675Z,2000,0,0,-2000
"Eli",zx3OiOhUJQ,2025-02-13T03:09:45.489Z,2025-02-13T03:12:32.449Z,2000,0,0,-2000
"glenny",O4o2WcWz3Z,2025-02-13T03:09:45.478Z,2025-02-13T04:22:37.957Z,2000,0,0,-2000
"kciN",23ejw2m6D-,2025-02-13T03:09:45.486Z,2025-02-13T05:26:58.260Z,3680,0,0,-3680
"mond",VnzuRuUJp5,2025-02-13T03:09:45.481Z,2025-02-13T03:52:28.671Z,2000,0,0,-2000
"Gob",bMuZUaFSt2,2025-02-13T03:09:45.473Z,2025-02-13T05:28:09.423Z,6605,5282,0,-1323
