player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"The Senate",ArJnWs8BqK,2025-02-11T05:41:16.058Z,,2000,,3511,1511
"Mond",VnzuRuUJp5,2025-02-11T05:41:16.055Z,2025-02-11T06:22:31.935Z,2000,6441,0,4441
"ieff",FMYFFNvVDL,2025-02-11T04:48:26.896Z,,3000,,4935,1935
"The Senate",ArJnWs8BqK,2025-02-11T04:43:38.673Z,2025-02-11T05:29:27.076Z,4000,1887,0,-2113
"Tyler",Gx5KZdldWM,2025-02-11T04:34:48.506Z,2025-02-11T06:23:27.087Z,2000,0,0,-2000
"Kyle",jclMM_b-US,2025-02-11T04:23:04.900Z,2025-02-11T04:29:10.500Z,2000,0,0,-2000
"Kyle",jclMM_b-US,2025-02-11T04:14:53.298Z,2025-02-11T04:22:27.121Z,2000,0,0,-2000
"Kyle",jclMM_b-US,2025-02-11T04:08:24.505Z,2025-02-11T04:13:56.202Z,2000,0,0,-2000
"Eli",zx3OiOhUJQ,2025-02-11T03:44:06.387Z,2025-02-11T06:19:03.576Z,3000,0,0,-3000
"Kyle",jclMM_b-US,2025-02-11T03:40:09.321Z,2025-02-11T04:07:54.084Z,2000,0,0,-2000
"edwin",9M0NBGM9an,2025-02-11T03:27:02.135Z,2025-02-11T05:35:23.119Z,2000,0,0,-2000
"The Senate",ArJnWs8BqK,2025-02-11T03:26:08.189Z,2025-02-11T04:42:56.421Z,5677,1400,0,-4277
"Tyler",Gx5KZdldWM,2025-02-11T03:21:32.350Z,2025-02-11T04:31:56.737Z,2000,0,0,-2000
"glenny",O4o2WcWz3Z,2025-02-11T03:21:32.357Z,2025-02-11T06:15:42.841Z,2000,10022,0,8022
"Nick",23ejw2m6D-,2025-02-11T03:21:32.343Z,,2000,,9371,7371
"Gob",bMuZUaFSt2,2025-02-11T03:21:32.338Z,,2000,,6110,4110
"Eli",zx3OiOhUJQ,2025-02-11T03:21:32.346Z,2025-02-11T03:43:13.850Z,3000,1000,0,-2000
"The Senate",ArJnWs8BqK,2025-02-11T03:21:32.354Z,2025-02-11T03:23:49.348Z,2000,0,0,-2000
