player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ieff",FMYFFNvVDL,2025-02-10T05:55:12.940Z,2025-02-10T06:06:34.593Z,3000,4050,0,1050
"ieff",FMYFFNvVDL,2025-02-10T05:40:03.183Z,2025-02-10T05:52:45.160Z,2000,0,0,-2000
"Gob",bMuZUaFSt2,2025-02-10T05:33:12.825Z,,3000,,8020,5020
"ieff",FMYFFNvVDL,2025-02-10T05:09:48.398Z,2025-02-10T05:14:38.190Z,3000,0,0,-3000
"Nick",23ejw2m6D-,2025-02-10T04:55:36.956Z,2025-02-10T06:01:27.486Z,2000,0,0,-2000
"glenny",O4o2WcWz3Z,2025-02-10T04:55:36.953Z,,3000,,1565,-1435
"edwin",M8D9HPGuve,2025-02-10T04:44:52.947Z,2025-02-10T06:06:03.406Z,5000,5315,0,315
"glenny",O4o2WcWz3Z,2025-02-10T04:41:05.439Z,2025-02-10T04:54:36.382Z,3110,0,0,-3110
"ieff",FMYFFNvVDL,2025-02-10T04:33:47.330Z,2025-02-10T05:08:37.298Z,4552,0,0,-4552
"Kyle",jclMM_b-US,2025-02-10T04:29:29.280Z,2025-02-10T05:16:43.391Z,2000,0,0,-2000
"kris",fGhIPOgWCx,2025-02-10T03:48:21.920Z,2025-02-10T05:28:53.266Z,3355,0,0,-3355
"Kyle",jclMM_b-US,2025-02-10T03:46:34.156Z,2025-02-10T04:22:54.087Z,2000,0,0,-2000
"Nick",23ejw2m6D-,2025-02-10T03:42:10.776Z,2025-02-10T04:51:34.573Z,3535,0,0,-3535
"Kyle",jclMM_b-US,2025-02-10T03:42:10.772Z,2025-02-10T03:45:17.111Z,2000,0,0,-2000
"Mond",VnzuRuUJp5,2025-02-10T03:42:10.774Z,2025-02-10T06:06:03.401Z,3690,18830,0,15140
"Eli",zx3OiOhUJQ,2025-02-10T03:42:10.778Z,2025-02-10T06:04:12.364Z,2000,12112,0,10112
"The Senate",ArJnWs8BqK,2025-02-10T03:42:10.779Z,2025-02-10T05:35:59.674Z,2000,6360,0,4360
"edwin",M8D9HPGuve,2025-02-10T03:42:10.770Z,2025-02-10T04:44:20.989Z,2000,0,0,-2000
"Gob",bMuZUaFSt2,2025-02-10T03:42:10.767Z,2025-02-10T05:32:38.832Z,5010,0,0,-5010
