player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gob",bMuZUaFSt2,2025-02-14T06:22:27.676Z,,4000,,4679,679
"ieff",FMYFFNvVDL,2025-02-14T06:02:19.988Z,2025-02-14T07:08:06.111Z,2000,2925,0,925
"ieff",FMYFFNvVDL,2025-02-14T05:53:00.835Z,2025-02-14T06:01:26.921Z,2000,0,0,-2000
"Kyle",jclMM_b-US,2025-02-14T05:44:45.377Z,2025-02-14T05:53:00.831Z,2000,0,0,-2000
"Mond",VnzuRuUJp5,2025-02-14T05:33:23.528Z,2025-02-14T05:46:08.481Z,5000,0,0,-5000
"edwin",9M0NBGM9an,2025-02-14T05:32:01.655Z,2025-02-14T07:06:18.552Z,5000,1791,0,-3209
"Kyle",jclMM_b-US,2025-02-14T05:25:59.023Z,2025-02-14T05:43:19.451Z,2000,0,0,-2000
"Kyle",jclMM_b-US,2025-02-14T05:18:23.397Z,2025-02-14T05:25:18.486Z,2000,0,0,-2000
"Nick",23ejw2m6D-,2025-02-14T05:10:55.179Z,2025-02-14T05:48:36.884Z,2000,0,0,-2000
"Mond",VnzuRuUJp5,2025-02-14T05:07:35.952Z,2025-02-14T05:32:01.642Z,2000,0,0,-2000
"Mond",VnzuRuUJp5,2025-02-14T04:45:29.850Z,2025-02-14T04:56:19.858Z,2000,0,0,-2000
"Larry",f2FO7_98Oo,2025-02-14T04:31:02.901Z,2025-02-14T05:08:07.754Z,2000,3658,0,1658
"Kyle",GnKjEIhrHH,2025-02-14T04:16:38.691Z,2025-02-14T05:17:33.419Z,2000,4535,0,2535
"edwin",9M0NBGM9an,2025-02-14T04:13:43.439Z,2025-02-14T05:30:11.597Z,3000,0,0,-3000
"The Senate",ArJnWs8BqK,2025-02-14T03:50:07.951Z,2025-02-14T06:03:10.281Z,4000,13054,0,9054
"The Senate",ArJnWs8BqK,2025-02-14T03:17:58.408Z,2025-02-14T03:49:05.037Z,3760,0,0,-3760
"Nick",23ejw2m6D-,2025-02-14T03:17:05.138Z,2025-02-14T05:07:35.948Z,2000,0,0,-2000
"Egan",NqKd6GdAMt,2025-02-14T03:17:05.136Z,2025-02-14T04:21:13.076Z,2000,0,0,-2000
"glenny",O4o2WcWz3Z,2025-02-14T03:17:05.132Z,,2000,,9331,7331
"Egan Konopinsk",NqKd6GdAMt,,2025-02-14T03:16:35.741Z,2000,2000,0,0
"Eli",zx3OiOhUJQ,2025-02-14T03:17:05.134Z,,2000,12569,8253,18822
"Gob",bMuZUaFSt2,2025-02-14T03:17:05.130Z,2025-02-14T06:20:55.854Z,8035,0,0,-8035
