entry,at,order
"""Gob @ bMuZUaFSt2"" folds",2025-02-09T06:01:22.955Z,173908088295500
"""Nick... @ 23ejw2m6D-"" posts a big blind of 0.20",2025-02-09T06:01:20.601Z,173908088060108
"""CF @ fGhIPOgWCx"" posts a small blind of 0.10",2025-02-09T06:01:20.601Z,173908088060107
"Your hand is 6♣, K♦",2025-02-09T06:01:20.601Z,173908088060103
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (38.40) | #2 ""glenny @ O4o2WcWz3Z"" (57.50) | #6 ""CF @ fGhIPOgWCx"" (43.25) | #10 ""Nick... @ 23ejw2m6D-"" (61.70)",2025-02-09T06:01:20.601Z,173908088060102
"-- starting hand #119 (id: fq9uv5cpf00u)  (No Limit Texas Hold'em) (dealer: ""glenny @ O4o2WcWz3Z"") --",2025-02-09T06:01:20.601Z,173908088060101
"The player ""Mond @ VnzuRuUJp5"" quits the game with a stack of 40.70.",2025-02-09T06:01:20.601Z,173908088060100
"""Nick... @ 23ejw2m6D-"" shows a 5♠, 6♣.",2025-02-09T06:01:15.148Z,173908087514800
"Undealt cards: 9♦, Q♥, 6♦, 2♥ [3♦]",2025-02-09T06:01:14.451Z,173908087445100
"-- ending hand #118 --",2025-02-09T06:01:13.986Z,173908087398602
"""CF @ fGhIPOgWCx"" collected 7.80 from pot",2025-02-09T06:01:13.986Z,173908087398601
"Uncalled bet of 4.65 returned to ""CF @ fGhIPOgWCx""",2025-02-09T06:01:13.986Z,173908087398600
"""Gob @ bMuZUaFSt2"" folds",2025-02-09T06:01:13.156Z,173908087315600
"""CF @ fGhIPOgWCx"" raises to 6.65",2025-02-09T06:01:09.020Z,173908086902000
"""glenny @ O4o2WcWz3Z"" folds",2025-02-09T06:01:02.091Z,173908086209100
"""Gob @ bMuZUaFSt2"" bets 2.00",2025-02-09T06:01:00.479Z,173908086047900
"""CF @ fGhIPOgWCx"" checks",2025-02-09T06:00:50.616Z,173908085061600
"""glenny @ O4o2WcWz3Z"" checks",2025-02-09T06:00:48.161Z,173908084816100
"Turn: 9♦, Q♥, 6♦ [2♥]",2025-02-09T06:00:46.538Z,173908084653800
"""Gob @ bMuZUaFSt2"" checks",2025-02-09T06:00:45.718Z,173908084571800
"""CF @ fGhIPOgWCx"" checks",2025-02-09T06:00:42.302Z,173908084230200
"""glenny @ O4o2WcWz3Z"" checks",2025-02-09T06:00:39.850Z,173908083985000
"Flop:  [9♦, Q♥, 6♦]",2025-02-09T06:00:37.929Z,173908083792900
"""Nick... @ 23ejw2m6D-"" folds",2025-02-09T06:00:37.102Z,173908083710200
"""CF @ fGhIPOgWCx"" calls 1.20",2025-02-09T06:00:36.225Z,173908083622500
"""glenny @ O4o2WcWz3Z"" calls 1.20",2025-02-09T06:00:29.347Z,173908082934700
"""Gob @ bMuZUaFSt2"" raises to 1.20",2025-02-09T06:00:27.883Z,173908082788300
"""Nick... @ 23ejw2m6D-"" calls 0.20",2025-02-09T06:00:22.596Z,173908082259600
"""Mond @ VnzuRuUJp5"" folds",2025-02-09T06:00:15.601Z,173908081560100
"""CF @ fGhIPOgWCx"" posts a big blind of 0.20",2025-02-09T06:00:13.672Z,173908081367208
"""glenny @ O4o2WcWz3Z"" posts a small blind of 0.10",2025-02-09T06:00:13.672Z,173908081367207
"Your hand is A♠, 5♣",2025-02-09T06:00:13.672Z,173908081367202
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (41.60) | #2 ""glenny @ O4o2WcWz3Z"" (58.70) | #6 ""CF @ fGhIPOgWCx"" (38.65) | #7 ""Mond @ VnzuRuUJp5"" (40.70) | #10 ""Nick... @ 23ejw2m6D-"" (61.90)",2025-02-09T06:00:13.672Z,173908081367201
"-- starting hand #118 (id: 0s4sstehfi7w)  (No Limit Texas Hold'em) (dealer: ""Gob @ bMuZUaFSt2"") --",2025-02-09T06:00:13.672Z,173908081367200
"-- ending hand #117 --",2025-02-09T06:00:07.650Z,173908080765003
"""CF @ fGhIPOgWCx"" shows a 10♠, 7♠.",2025-02-09T06:00:07.650Z,173908080765002
"""Nick... @ 23ejw2m6D-"" collected 25.80 from pot with Two Pair, A's & 8's (combination: A♠, A♥, 8♠, 8♦, 9♠)",2025-02-09T06:00:07.650Z,173908080765001
"""Nick... @ 23ejw2m6D-"" shows a A♠, 3♦.",2025-02-09T06:00:07.650Z,173908080765000
"""Nick... @ 23ejw2m6D-"" calls 7.90",2025-02-09T06:00:06.841Z,173908080684100
"""CF @ fGhIPOgWCx"" bets 7.90",2025-02-09T06:00:04.036Z,173908080403600
"River: 9♠, 8♠, A♥, 2♥ [8♦]",2025-02-09T05:59:54.465Z,173908079446500
"""glenny @ O4o2WcWz3Z"" folds",2025-02-09T05:59:53.643Z,173908079364300
"""Gob @ bMuZUaFSt2"" folds",2025-02-09T05:59:52.680Z,173908079268000
"""Nick... @ 23ejw2m6D-"" calls 3.00",2025-02-09T05:59:51.806Z,173908079180600
"""Mond @ VnzuRuUJp5"" folds",2025-02-09T05:59:50.950Z,173908079095000
"""CF @ fGhIPOgWCx"" bets 3.00",2025-02-09T05:59:49.509Z,173908078950900
"""glenny @ O4o2WcWz3Z"" checks",2025-02-09T05:59:45.129Z,173908078512900
"""Gob @ bMuZUaFSt2"" checks",2025-02-09T05:59:44.134Z,173908078413400
"Turn: 9♠, 8♠, A♥ [2♥]",2025-02-09T05:59:42.827Z,173908078282700
"""Nick... @ 23ejw2m6D-"" checks",2025-02-09T05:59:41.962Z,173908078196200
"""Mond @ VnzuRuUJp5"" checks",2025-02-09T05:59:40.623Z,173908078062300
"""CF @ fGhIPOgWCx"" checks",2025-02-09T05:59:39.220Z,173908077922000
"""glenny @ O4o2WcWz3Z"" checks",2025-02-09T05:59:37.252Z,173908077725200
"""Gob @ bMuZUaFSt2"" checks",2025-02-09T05:59:36.326Z,173908077632600
"Flop:  [9♠, 8♠, A♥]",2025-02-09T05:59:35.076Z,173908077507600
"""glenny @ O4o2WcWz3Z"" calls 0.80",2025-02-09T05:59:34.243Z,173908077424300
"""Gob @ bMuZUaFSt2"" calls 0.80",2025-02-09T05:59:32.230Z,173908077223000
"""Nick... @ 23ejw2m6D-"" calls 0.80",2025-02-09T05:59:24.053Z,173908076405300
"""Mond @ VnzuRuUJp5"" calls 0.80",2025-02-09T05:59:23.037Z,173908076303700
"""CF @ fGhIPOgWCx"" raises to 0.80",2025-02-09T05:59:21.214Z,173908076121400
"""glenny @ O4o2WcWz3Z"" posts a big blind of 0.20",2025-02-09T05:59:18.555Z,173908075855508
"""Gob @ bMuZUaFSt2"" posts a small blind of 0.10",2025-02-09T05:59:18.555Z,173908075855507
"Your hand is 5♥, 2♠",2025-02-09T05:59:18.555Z,173908075855502
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (42.40) | #2 ""glenny @ O4o2WcWz3Z"" (59.50) | #6 ""CF @ fGhIPOgWCx"" (50.35) | #7 ""Mond @ VnzuRuUJp5"" (41.50) | #10 ""Nick... @ 23ejw2m6D-"" (47.80)",2025-02-09T05:59:18.555Z,173908075855501
"-- starting hand #117 (id: td54hk9qvx9d)  (No Limit Texas Hold'em) (dealer: ""Nick... @ 23ejw2m6D-"") --",2025-02-09T05:59:18.555Z,173908075855500
"""Nick... @ 23ejw2m6D-"" shows a 5♠, K♦.",2025-02-09T05:59:13.867Z,173908075386700
"-- ending hand #116 --",2025-02-09T05:59:12.004Z,173908075200403
"""Mond @ VnzuRuUJp5"" shows a 5♦, 10♦.",2025-02-09T05:59:12.004Z,173908075200402
