entry,at,order
"""ieff @ FMYFFNvVDL"" posts a big blind of 0.20",2025-02-11T06:30:44.284Z,173925544428407
"""Gob @ bMuZUaFSt2"" posts a small blind of 0.10",2025-02-11T06:30:44.284Z,173925544428406
"Your hand is 7♦, 8♦",2025-02-11T06:30:44.284Z,173925544428403
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (61.10) | #7 ""ieff @ FMYFFNvVDL"" (49.35) | #9 ""The Senate @ ArJnWs8BqK"" (35.11)",2025-02-11T06:30:44.284Z,173925544428402
"-- starting hand #201 (id: ibxmipqbthlt)  (No Limit Texas Hold'em) (dealer: ""The Senate @ ArJnWs8BqK"") --",2025-02-11T06:30:44.284Z,173925544428401
"The player ""Nick @ 23ejw2m6D-"" stand up with the stack of 93.71.",2025-02-11T06:30:44.284Z,173925544428400
"""The Senate @ ArJnWs8BqK"" shows a 2♣, 3♥.",2025-02-11T06:30:39.518Z,173925543951800
"""Gob @ bMuZUaFSt2"" shows a 2♦, 9♠.",2025-02-11T06:30:38.209Z,173925543820900
"""ieff @ FMYFFNvVDL"" shows a 5♥, 5♠.",2025-02-11T06:30:38.196Z,173925543819600
"""Nick @ 23ejw2m6D-"" shows a Q♠.",2025-02-11T06:30:36.362Z,173925543636200
"Undealt cards: Q♦, J♦, 3♠ [7♥, 6♥]",2025-02-11T06:30:35.970Z,173925543597000
"""Nick @ 23ejw2m6D-"" shows a A♠.",2025-02-11T06:30:35.679Z,173925543567900
"-- ending hand #200 --",2025-02-11T06:30:35.511Z,173925543551102
"""Nick @ 23ejw2m6D-"" collected 0.80 from pot",2025-02-11T06:30:35.511Z,173925543551101
"Uncalled bet of 0.40 returned to ""Nick @ 23ejw2m6D-""",2025-02-11T06:30:35.511Z,173925543551100
"""Gob @ bMuZUaFSt2"" folds",2025-02-11T06:30:34.688Z,173925543468800
"""The Senate @ ArJnWs8BqK"" folds",2025-02-11T06:30:30.630Z,173925543063000
"""ieff @ FMYFFNvVDL"" folds",2025-02-11T06:30:29.780Z,173925542978000
"""Nick @ 23ejw2m6D-"" bets 0.40",2025-02-11T06:30:21.012Z,173925542101200
"""Gob @ bMuZUaFSt2"" checks",2025-02-11T06:30:17.499Z,173925541749900
"""The Senate @ ArJnWs8BqK"" checks",2025-02-11T06:30:16.433Z,173925541643300
"Flop:  [Q♦, J♦, 3♠]",2025-02-11T06:30:14.658Z,173925541465800
"""Gob @ bMuZUaFSt2"" checks",2025-02-11T06:30:13.855Z,173925541385500
"""The Senate @ ArJnWs8BqK"" calls 0.20",2025-02-11T06:30:12.817Z,173925541281700
"""ieff @ FMYFFNvVDL"" calls 0.20",2025-02-11T06:30:08.824Z,173925540882400
"""Nick @ 23ejw2m6D-"" calls 0.20",2025-02-11T06:30:07.078Z,173925540707800
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-11T06:30:00.322Z,173925540032207
"""The Senate @ ArJnWs8BqK"" posts a small blind of 0.10",2025-02-11T06:30:00.322Z,173925540032206
"Your hand is 2♦, 9♠",2025-02-11T06:30:00.322Z,173925540032202
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (61.30) | #2 ""Nick @ 23ejw2m6D-"" (93.11) | #7 ""ieff @ FMYFFNvVDL"" (49.55) | #9 ""The Senate @ ArJnWs8BqK"" (35.31)",2025-02-11T06:30:00.322Z,173925540032201
"-- starting hand #200 (id: ck4xsymps2ui)  (No Limit Texas Hold'em) (dealer: ""ieff @ FMYFFNvVDL"") --",2025-02-11T06:30:00.322Z,173925540032200
"Undealt cards: 10♠, 4♠, 6♠, J♥ [8♣]",2025-02-11T06:29:55.044Z,173925539504400
"""Nick @ 23ejw2m6D-"" shows a 7♦, 9♦.",2025-02-11T06:29:54.789Z,173925539478900
"-- ending hand #199 --",2025-02-11T06:29:53.715Z,173925539371502
"""Gob @ bMuZUaFSt2"" collected 2.30 from pot",2025-02-11T06:29:53.715Z,173925539371501
"Uncalled bet of 1.00 returned to ""Gob @ bMuZUaFSt2""",2025-02-11T06:29:53.715Z,173925539371500
"""Nick @ 23ejw2m6D-"" folds",2025-02-11T06:29:52.888Z,173925539288800
"""Gob @ bMuZUaFSt2"" bets 1.00",2025-02-11T06:29:50.766Z,173925539076600
"Turn: 10♠, 4♠, 6♠ [J♥]",2025-02-11T06:29:46.909Z,173925538690900
"""Nick @ 23ejw2m6D-"" checks",2025-02-11T06:29:46.095Z,173925538609500
"""Gob @ bMuZUaFSt2"" checks",2025-02-11T06:29:45.255Z,173925538525500
"Flop:  [10♠, 4♠, 6♠]",2025-02-11T06:29:42.253Z,173925538225300
"""The Senate @ ArJnWs8BqK"" folds",2025-02-11T06:29:41.446Z,173925538144600
"""ieff @ FMYFFNvVDL"" folds",2025-02-11T06:29:36.756Z,173925537675600
"""Nick @ 23ejw2m6D-"" calls 1.00",2025-02-11T06:29:35.854Z,173925537585400
"""Gob @ bMuZUaFSt2"" raises to 1.00",2025-02-11T06:29:34.014Z,173925537401400
"""The Senate @ ArJnWs8BqK"" posts a big blind of 0.20",2025-02-11T06:29:31.161Z,173925537116107
"""ieff @ FMYFFNvVDL"" posts a small blind of 0.10",2025-02-11T06:29:31.161Z,173925537116106
"Your hand is Q♣, 6♣",2025-02-11T06:29:31.161Z,173925537116102
