entry,at,order
"""glenny @ O4o2WcWz3Z"" posts a big blind of 0.20",2025-02-03T08:22:44.473Z,173857096447306
"""Gob @ bMuZUaFSt2"" posts a small blind of 0.10",2025-02-03T08:22:44.473Z,173857096447305
"Your hand is J♣, 7♥",2025-02-03T08:22:44.473Z,173857096447302
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (57.05) | #4 ""glenny @ O4o2WcWz3Z"" (41.90) | #6 ""Winner (Nick) @ 23ejw2m6D-"" (11.57)",2025-02-03T08:22:44.473Z,173857096447301
"-- starting hand #263 (id: 5p1skxutl4fy)  (No Limit Texas Hold'em) (dead button) --",2025-02-03T08:22:44.473Z,173857096447300
"""Winner (Nick) @ 23ejw2m6D-"" shows a 4♥, 3♦.",2025-02-03T08:22:42.806Z,173857096280600
"-- ending hand #262 --",2025-02-03T08:22:37.861Z,173857095786102
"""Gob @ bMuZUaFSt2"" collected 0.00 from pot",2025-02-03T08:22:37.861Z,173857095786101
"Uncalled bet of 0.20 returned to ""Gob @ bMuZUaFSt2""",2025-02-03T08:22:37.861Z,173857095786100
"""Winner (Nick) @ 23ejw2m6D-"" folds",2025-02-03T08:22:37.055Z,173857095705500
"""glenny @ O4o2WcWz3Z"" folds",2025-02-03T08:22:36.166Z,173857095616600
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-03T08:22:35.127Z,173857095512707
"Dead Small Blind",2025-02-03T08:22:35.127Z,173857095512706
"Your hand is K♦, 7♠",2025-02-03T08:22:35.127Z,173857095512703
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (57.05) | #4 ""glenny @ O4o2WcWz3Z"" (41.90) | #6 ""Winner (Nick) @ 23ejw2m6D-"" (11.57)",2025-02-03T08:22:35.127Z,173857095512702
"-- starting hand #262 (id: 1n3e4qytyjj9)  (No Limit Texas Hold'em) (dealer: ""Winner (Nick) @ 23ejw2m6D-"") --",2025-02-03T08:22:35.127Z,173857095512701
"The player ""joshy @ Z_WOxDxS2G"" stand up with the stack of 35.57.",2025-02-03T08:22:35.127Z,173857095512700
"""Gob @ bMuZUaFSt2"" shows a 7♥, K♥.",2025-02-03T08:22:29.321Z,173857094932100
"""Winner (Nick) @ 23ejw2m6D-"" shows a 9♠, 6♦.",2025-02-03T08:22:28.992Z,173857094899200
"Undealt cards: K♠, 2♦, A♥, J♥ [8♣]",2025-02-03T08:22:27.611Z,173857094761100
"""joshy @ Z_WOxDxS2G"" shows a K♣, 5♠.",2025-02-03T08:22:27.415Z,173857094741500
"-- ending hand #261 --",2025-02-03T08:22:27.121Z,173857094712102
"""Gob @ bMuZUaFSt2"" collected 1.70 from pot",2025-02-03T08:22:27.121Z,173857094712101
"Uncalled bet of 0.85 returned to ""Gob @ bMuZUaFSt2""",2025-02-03T08:22:27.121Z,173857094712100
"""joshy @ Z_WOxDxS2G"" folds",2025-02-03T08:22:26.312Z,173857094631200
"""Gob @ bMuZUaFSt2"" bets 0.85",2025-02-03T08:22:23.867Z,173857094386700
"""joshy @ Z_WOxDxS2G"" checks",2025-02-03T08:22:21.573Z,173857094157300
"Turn: K♠, 2♦, A♥ [J♥]",2025-02-03T08:22:20.060Z,173857094006000
"""Gob @ bMuZUaFSt2"" checks",2025-02-03T08:22:19.253Z,173857093925300
"""joshy @ Z_WOxDxS2G"" checks",2025-02-03T08:22:16.172Z,173857093617200
"Flop:  [K♠, 2♦, A♥]",2025-02-03T08:22:14.198Z,173857093419800
"""joshy @ Z_WOxDxS2G"" calls 0.80",2025-02-03T08:22:13.387Z,173857093338700
"""Winner (Nick) @ 23ejw2m6D-"" folds",2025-02-03T08:22:11.406Z,173857093140600
"""glenny @ O4o2WcWz3Z"" folds",2025-02-03T08:22:10.534Z,173857093053400
"""Gob @ bMuZUaFSt2"" raises to 0.80",2025-02-03T08:22:07.349Z,173857092734900
"""joshy @ Z_WOxDxS2G"" posts a big blind of 0.20",2025-02-03T08:22:03.290Z,173857092329007
"""Winner (Nick) @ 23ejw2m6D-"" posts a small blind of 0.10",2025-02-03T08:22:03.290Z,173857092329006
"Your hand is 7♥, K♥",2025-02-03T08:22:03.290Z,173857092329002
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (56.15) | #4 ""glenny @ O4o2WcWz3Z"" (41.90) | #6 ""Winner (Nick) @ 23ejw2m6D-"" (11.67) | #7 ""joshy @ Z_WOxDxS2G"" (36.37)",2025-02-03T08:22:03.290Z,173857092329001
"-- starting hand #261 (id: purohqzbv5kn)  (No Limit Texas Hold'em) (dealer: ""glenny @ O4o2WcWz3Z"") --",2025-02-03T08:22:03.290Z,173857092329000
"""glenny @ O4o2WcWz3Z"" shows a 10♠, 8♥.",2025-02-03T08:22:01.084Z,173857092108400
"""Gob @ bMuZUaFSt2"" shows a 6♠, 7♥.",2025-02-03T08:21:58.632Z,173857091863200
"""joshy @ Z_WOxDxS2G"" shows a A♠, 2♣.",2025-02-03T08:21:56.315Z,173857091631500
"-- ending hand #260 --",2025-02-03T08:21:55.773Z,173857091577302
"""Winner (Nick) @ 23ejw2m6D-"" collected 4.40 from pot with Straight, 9 High (combination: 9♠, 8♣, 7♠, 6♥, 5♥)",2025-02-03T08:21:55.773Z,173857091577301
"""Winner (Nick) @ 23ejw2m6D-"" shows a 9♠, A♣.",2025-02-03T08:21:55.773Z,173857091577300
"""glenny @ O4o2WcWz3Z"" folds",2025-02-03T08:21:54.964Z,173857091496400
"""Gob @ bMuZUaFSt2"" calls 1.00",2025-02-03T08:21:53.968Z,173857091396800
"""joshy @ Z_WOxDxS2G"" folds",2025-02-03T08:21:49.555Z,173857090955500
"""Winner (Nick) @ 23ejw2m6D-"" bets 1.00",2025-02-03T08:21:48.515Z,173857090851500
"""glenny @ O4o2WcWz3Z"" checks",2025-02-03T08:21:45.010Z,173857090501000
"River: 5♥, 7♠, K♣, 6♥ [8♣]",2025-02-03T08:21:42.798Z,173857090279800
"""joshy @ Z_WOxDxS2G"" calls 0.40",2025-02-03T08:21:41.952Z,173857090195200
"""Winner (Nick) @ 23ejw2m6D-"" calls 0.40",2025-02-03T08:21:31.539Z,173857089153900
"""glenny @ O4o2WcWz3Z"" calls 0.40",2025-02-03T08:21:30.682Z,173857089068200
"""Gob @ bMuZUaFSt2"" bets 0.40",2025-02-03T08:21:29.154Z,173857088915400
"""joshy @ Z_WOxDxS2G"" checks",2025-02-03T08:21:26.257Z,173857088625700
"""Winner (Nick) @ 23ejw2m6D-"" checks",2025-02-03T08:21:24.974Z,173857088497400
"""glenny @ O4o2WcWz3Z"" checks",2025-02-03T08:21:22.888Z,173857088288800
"Turn: 5♥, 7♠, K♣ [6♥]",2025-02-03T08:21:21.980Z,173857088198000
"""Gob @ bMuZUaFSt2"" checks",2025-02-03T08:21:21.119Z,173857088111900
"""joshy @ Z_WOxDxS2G"" checks",2025-02-03T08:21:19.395Z,173857087939500
"""Winner (Nick) @ 23ejw2m6D-"" checks",2025-02-03T08:21:18.227Z,173857087822700
"""glenny @ O4o2WcWz3Z"" checks",2025-02-03T08:21:17.314Z,173857087731400
"Flop:  [5♥, 7♠, K♣]",2025-02-03T08:21:13.279Z,173857087327900
"""Winner (Nick) @ 23ejw2m6D-"" checks",2025-02-03T08:21:12.468Z,173857087246800
"""glenny @ O4o2WcWz3Z"" calls 0.20",2025-02-03T08:21:11.614Z,173857087161400
"""Gob @ bMuZUaFSt2"" calls 0.20",2025-02-03T08:21:09.016Z,173857086901600
"""joshy @ Z_WOxDxS2G"" calls 0.20",2025-02-03T08:21:06.915Z,173857086691500
"""Winner (Nick) @ 23ejw2m6D-"" posts a big blind of 0.20",2025-02-03T08:21:05.392Z,173857086539207
"""glenny @ O4o2WcWz3Z"" posts a small blind of 0.10",2025-02-03T08:21:05.392Z,173857086539206
"Your hand is 6♠, 7♥",2025-02-03T08:21:05.392Z,173857086539202
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (57.75) | #4 ""glenny @ O4o2WcWz3Z"" (42.50) | #6 ""Winner (Nick) @ 23ejw2m6D-"" (8.87) | #7 ""joshy @ Z_WOxDxS2G"" (36.97)",2025-02-03T08:21:05.392Z,173857086539201
"-- starting hand #260 (id: axs0pbr968gb)  (No Limit Texas Hold'em) (dealer: ""Gob @ bMuZUaFSt2"") --",2025-02-03T08:21:05.392Z,173857086539200
"""Gob @ bMuZUaFSt2"" shows a 7♠, 4♠.",2025-02-03T08:21:03.286Z,173857086328600
"""Winner (Nick) @ 23ejw2m6D-"" shows a 2♣, Q♣.",2025-02-03T08:20:59.343Z,173857085934300
"Undealt cards: K♠, 6♦, Q♥, 7♣ [5♥]",2025-02-03T08:20:58.293Z,173857085829300
"""joshy @ Z_WOxDxS2G"" shows a 5♦, J♣.",2025-02-03T08:20:57.859Z,173857085785900
