player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"glenny",O4o2WcWz3Z,2025-02-09T05:01:59.739Z,,3000,,5750,2750
"CF",fGhIPOgWCx,2025-02-09T04:45:28.768Z,,5000,3225,4325,2550
"glenny",O4o2WcWz3Z,2025-02-09T04:29:40.400Z,2025-02-09T05:01:02.916Z,2000,0,0,-2000
"Mond",VnzuRuUJp5,2025-02-09T04:24:16.070Z,2025-02-09T06:01:20.604Z,2000,5166,0,3166
"The Senate",ArJnWs8BqK,2025-02-09T04:06:39.901Z,2025-02-09T05:33:42.656Z,3020,3139,0,119
"Nick...",23ejw2m6D-,2025-02-09T04:05:42.233Z,,2000,4500,6170,8670
"larry",0D790GTBvz,2025-02-09T04:05:42.226Z,2025-02-09T05:25:27.920Z,8090,1679,0,-6411
"Eli",zx3OiOhUJQ,2025-02-09T04:05:42.149Z,2025-02-09T05:52:40.394Z,5825,4635,0,-1190
"CF",fGhIPOgWCx,2025-02-09T04:05:42.212Z,2025-02-09T04:42:53.229Z,2000,0,0,-2000
"Gob",bMuZUaFSt2,2025-02-09T04:05:42.115Z,,9494,,3840,-5654
