player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Kyle",GnKjEIhrHH,2025-02-07T04:37:51.337Z,2025-02-07T04:54:16.033Z,2000,0,0,-2000
"Kyle",GnKjEIhrHH,2025-02-07T04:23:30.602Z,2025-02-07T04:35:48.917Z,2000,0,0,-2000
"ieff",FMYFFNvVDL,2025-02-07T04:15:06.546Z,,2000,,2215,215
"glenny",O4o2WcWz3Z,2025-02-07T03:48:37.279Z,,2000,,2090,90
"edwin",9M0NBGM9an,2025-02-07T03:45:47.012Z,,2000,,6909,4909
"ieff",FMYFFNvVDL,2025-02-07T03:31:41.241Z,2025-02-07T04:08:01.555Z,3772,0,0,-3772
"Eli",zx3OiOhUJQ,2025-02-07T03:23:43.123Z,2025-02-07T04:45:04.513Z,2000,5222,0,3222
"Gob",bMuZUaFSt2,2025-02-07T03:23:43.126Z,,2000,,5336,3336
"larry",f2FO7_98Oo,2025-02-07T03:23:43.130Z,2025-02-07T04:19:16.135Z,2000,0,0,-2000
"ieff",FMYFFNvVDL,2025-02-07T03:23:43.119Z,2025-02-07T03:30:50.628Z,2000,0,0,-2000
