entry,at,order
"The player ""ieff @ FMYFFNvVDL"" quits the game with a stack of 65.15.",2025-02-13T05:28:09.419Z,173942448941902
"The player ""Gob @ bMuZUaFSt2"" quits the game with a stack of 52.82.",2025-02-13T05:28:09.419Z,173942448941901
"The player ""Gob @ bMuZUaFSt2"" stand up with the stack of 52.82.",2025-02-13T05:28:09.419Z,173942448941900
"-- ending hand #147 --",2025-02-13T05:28:06.451Z,173942448645102
"""Gob @ bMuZUaFSt2"" collected 0.20 from pot",2025-02-13T05:28:06.451Z,173942448645101
"Uncalled bet of 0.10 returned to ""Gob @ bMuZUaFSt2""",2025-02-13T05:28:06.451Z,173942448645100
"""ieff @ FMYFFNvVDL"" folds",2025-02-13T05:28:05.630Z,173942448563000
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-13T05:28:03.899Z,173942448389906
"""ieff @ FMYFFNvVDL"" posts a small blind of 0.10",2025-02-13T05:28:03.899Z,173942448389905
"Your hand is 10♠, 6♥",2025-02-13T05:28:03.899Z,173942448389903
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (52.72) | #6 ""ieff @ FMYFFNvVDL"" (65.25)",2025-02-13T05:28:03.899Z,173942448389902
"-- starting hand #147 (id: hcxapzoj5rdq)  (No Limit Texas Hold'em) (dealer: ""ieff @ FMYFFNvVDL"") --",2025-02-13T05:28:03.899Z,173942448389901
"The player ""Kyle @ jclMM_b-US"" quits the game with a stack of 58.40.",2025-02-13T05:28:03.899Z,173942448389900
"""ieff @ FMYFFNvVDL"" shows a 8♠, 8♦.",2025-02-13T05:28:00.771Z,173942448077100
"""Gob @ bMuZUaFSt2"" shows a 3♥.",2025-02-13T05:27:59.879Z,173942447987900
"Undealt cards: 7♥, 6♥, A♦ [A♥, K♥]",2025-02-13T05:27:57.169Z,173942447716900
"-- ending hand #146 --",2025-02-13T05:27:56.591Z,173942447659102
"""ieff @ FMYFFNvVDL"" collected 3.70 from pot",2025-02-13T05:27:56.591Z,173942447659101
"Uncalled bet of 1.85 returned to ""ieff @ FMYFFNvVDL""",2025-02-13T05:27:56.591Z,173942447659100
"""Gob @ bMuZUaFSt2"" folds",2025-02-13T05:27:55.746Z,173942447574600
"""ieff @ FMYFFNvVDL"" bets 1.85",2025-02-13T05:27:51.711Z,173942447171100
"Flop:  [7♥, 6♥, A♦]",2025-02-13T05:27:44.310Z,173942446431000
"""Gob @ bMuZUaFSt2"" calls 1.80",2025-02-13T05:27:43.496Z,173942446349600
"""ieff @ FMYFFNvVDL"" raises to 1.80",2025-02-13T05:27:33.055Z,173942445305500
"""Kyle @ jclMM_b-US"" folds",2025-02-13T05:27:26.938Z,173942444693800
"""Gob @ bMuZUaFSt2"" raises to 0.60",2025-02-13T05:27:26.115Z,173942444611500
"""ieff @ FMYFFNvVDL"" posts a big blind of 0.20",2025-02-13T05:27:20.730Z,173942444073006
"""Kyle @ jclMM_b-US"" posts a small blind of 0.10",2025-02-13T05:27:20.730Z,173942444073005
"Your hand is 3♥, 8♣",2025-02-13T05:27:20.730Z,173942444073002
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (54.52) | #2 ""Kyle @ jclMM_b-US"" (58.50) | #6 ""ieff @ FMYFFNvVDL"" (63.35)",2025-02-13T05:27:20.730Z,173942444073001
"-- starting hand #146 (id: 09oy7gcuir7v)  (No Limit Texas Hold'em) (dealer: ""Gob @ bMuZUaFSt2"") --",2025-02-13T05:27:20.730Z,173942444073000
"Undealt cards:  [J♦, 10♥, 9♣, 6♠, 3♣]",2025-02-13T05:27:15.603Z,173942443560300
"-- ending hand #145 --",2025-02-13T05:27:14.761Z,173942443476102
"""Gob @ bMuZUaFSt2"" collected 0.40 from pot",2025-02-13T05:27:14.761Z,173942443476101
"Uncalled bet of 0.60 returned to ""Gob @ bMuZUaFSt2""",2025-02-13T05:27:14.761Z,173942443476100
"""Kyle @ jclMM_b-US"" folds",2025-02-13T05:27:13.956Z,173942443395600
"""Gob @ bMuZUaFSt2"" raises to 0.80",2025-02-13T05:27:11.999Z,173942443199900
"""ieff @ FMYFFNvVDL"" folds",2025-02-13T05:27:02.182Z,173942442218200
"""Kyle @ jclMM_b-US"" posts a big blind of 0.20",2025-02-13T05:26:58.255Z,173942441825507
"""Gob @ bMuZUaFSt2"" posts a small blind of 0.10",2025-02-13T05:26:58.255Z,173942441825506
"Your hand is J♣, 2♥",2025-02-13T05:26:58.255Z,173942441825503
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (54.32) | #2 ""Kyle @ jclMM_b-US"" (58.70) | #6 ""ieff @ FMYFFNvVDL"" (63.35)",2025-02-13T05:26:58.255Z,173942441825502
"-- starting hand #145 (id: p7cwdcbt6muk)  (No Limit Texas Hold'em) (dead button) --",2025-02-13T05:26:58.255Z,173942441825501
"The player ""kciN @ 23ejw2m6D-"" quits the game with a stack of 0.00.",2025-02-13T05:26:58.255Z,173942441825500
"-- ending hand #144 --",2025-02-13T05:26:50.238Z,173942441023802
"""Gob @ bMuZUaFSt2"" collected 16.65 from pot with Straight, 7 High on the second run  (combination: 7♣, 6♦, 5♦, 4♥, 3♦)",2025-02-13T05:26:50.238Z,173942441023801
"""Gob @ bMuZUaFSt2"" collected 16.65 from pot with Straight, 7 High (combination: 7♣, 6♦, 5♦, 4♥, 3♦)",2025-02-13T05:26:50.238Z,173942441023800
"River (second run): 7♣, 5♣, 6♦, 3♦ [J♠]",2025-02-13T05:26:46.227Z,173942440622700
"River: 7♣, 5♣, 6♦, 3♦ [10♣]",2025-02-13T05:26:42.206Z,173942440220600
"""Gob @ bMuZUaFSt2"" shows a 5♦, 4♥.",2025-02-13T05:26:38.200Z,173942439820001
"Uncalled bet of 21.02 returned to ""Gob @ bMuZUaFSt2""",2025-02-13T05:26:38.200Z,173942439820000
"""kciN @ 23ejw2m6D-"" shows a Q♣, Q♥.",2025-02-13T05:26:37.985Z,173942439798500
"All players in hand choose to run it twice.",2025-02-13T05:26:37.370Z,173942439737001
"""Gob @ bMuZUaFSt2"" chooses to  run it twice.",2025-02-13T05:26:37.370Z,173942439737000
"""kciN @ 23ejw2m6D-"" chooses to  run it twice.",2025-02-13T05:26:33.842Z,173942439384200
"Remaining players decide whether to run it twice.",2025-02-13T05:26:32.029Z,173942439202901
"""Kyle @ jclMM_b-US"" folds",2025-02-13T05:26:32.029Z,173942439202900
"""Gob @ bMuZUaFSt2"" raises to 33.77 and go all in",2025-02-13T05:26:28.117Z,173942438811700
"""kciN @ 23ejw2m6D-"" bets 12.75 and go all in",2025-02-13T05:26:24.751Z,173942438475100
"Turn: 7♣, 5♣, 6♦ [3♦]",2025-02-13T05:26:21.066Z,173942438106600
"""Kyle @ jclMM_b-US"" calls 1.80",2025-02-13T05:26:20.250Z,173942438025000
"""Gob @ bMuZUaFSt2"" calls 1.80",2025-02-13T05:26:18.962Z,173942437896200
"""kciN @ 23ejw2m6D-"" bets 1.80",2025-02-13T05:26:16.851Z,173942437685100
"Flop:  [7♣, 5♣, 6♦]",2025-02-13T05:26:13.631Z,173942437363100
"""Kyle @ jclMM_b-US"" calls 0.80",2025-02-13T05:26:12.811Z,173942437281100
"""Gob @ bMuZUaFSt2"" calls 0.80",2025-02-13T05:26:11.892Z,173942437189200
"""kciN @ 23ejw2m6D-"" raises to 0.80",2025-02-13T05:26:10.544Z,173942437054400
"""ieff @ FMYFFNvVDL"" folds",2025-02-13T05:26:08.390Z,173942436839000
"""Kyle @ jclMM_b-US"" calls 0.20",2025-02-13T05:26:02.478Z,173942436247800
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-13T05:26:00.397Z,173942436039707
"""kciN @ 23ejw2m6D-"" posts a small blind of 0.10",2025-02-13T05:26:00.397Z,173942436039706
"Your hand is 5♦, 4♥",2025-02-13T05:26:00.397Z,173942436039702
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (36.37) | #2 ""Kyle @ jclMM_b-US"" (61.30) | #6 ""ieff @ FMYFFNvVDL"" (63.35) | #7 ""kciN @ 23ejw2m6D-"" (15.35)",2025-02-13T05:26:00.397Z,173942436039701
"-- starting hand #144 (id: vjueuqonwt49)  (No Limit Texas Hold'em) (dealer: ""ieff @ FMYFFNvVDL"") --",2025-02-13T05:26:00.397Z,173942436039700
"-- ending hand #143 --",2025-02-13T05:25:54.394Z,173942435439403
"""ieff @ FMYFFNvVDL"" shows a 2♦, 2♥.",2025-02-13T05:25:54.394Z,173942435439402
"""kciN @ 23ejw2m6D-"" collected 0.60 from pot with Two Pair, J's & 9's (combination: J♠, J♦, 9♥, 9♠, Q♠)",2025-02-13T05:25:54.394Z,173942435439401
"""kciN @ 23ejw2m6D-"" shows a Q♠, 7♣.",2025-02-13T05:25:54.394Z,173942435439400
"""Kyle @ jclMM_b-US"" checks",2025-02-13T05:25:53.544Z,173942435354400
"""kciN @ 23ejw2m6D-"" checks",2025-02-13T05:25:52.525Z,173942435252500
"""ieff @ FMYFFNvVDL"" checks",2025-02-13T05:25:51.460Z,173942435146000
"River: 9♥, J♠, 9♠, 3♠ [J♦]",2025-02-13T05:25:47.570Z,173942434757000
"""Kyle @ jclMM_b-US"" checks",2025-02-13T05:25:46.727Z,173942434672700
"""kciN @ 23ejw2m6D-"" checks",2025-02-13T05:25:45.718Z,173942434571800
"""ieff @ FMYFFNvVDL"" checks",2025-02-13T05:25:44.774Z,173942434477400
"Turn: 9♥, J♠, 9♠ [3♠]",2025-02-13T05:25:41.638Z,173942434163800
"""Kyle @ jclMM_b-US"" checks",2025-02-13T05:25:40.821Z,173942434082100
"""kciN @ 23ejw2m6D-"" checks",2025-02-13T05:25:39.508Z,173942433950800
"""ieff @ FMYFFNvVDL"" checks",2025-02-13T05:25:38.650Z,173942433865000
"Flop:  [9♥, J♠, 9♠]",2025-02-13T05:25:29.046Z,173942432904600
"""kciN @ 23ejw2m6D-"" checks",2025-02-13T05:25:28.226Z,173942432822600
"""ieff @ FMYFFNvVDL"" calls 0.20",2025-02-13T05:25:26.777Z,173942432677700
"""Kyle @ jclMM_b-US"" calls 0.20",2025-02-13T05:25:22.861Z,173942432286100
"""Gob @ bMuZUaFSt2"" folds",2025-02-13T05:25:21.190Z,173942432119000
"""kciN @ 23ejw2m6D-"" posts a big blind of 0.20",2025-02-13T05:25:19.628Z,173942431962807
"""ieff @ FMYFFNvVDL"" posts a small blind of 0.10",2025-02-13T05:25:19.628Z,173942431962806
"Your hand is 8♠, 6♥",2025-02-13T05:25:19.628Z,173942431962802
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (36.37) | #2 ""Kyle @ jclMM_b-US"" (61.50) | #6 ""ieff @ FMYFFNvVDL"" (63.55) | #7 ""kciN @ 23ejw2m6D-"" (14.95)",2025-02-13T05:25:19.628Z,173942431962801
"-- starting hand #143 (id: vwg0jk67mwyp)  (No Limit Texas Hold'em) (dealer: ""Kyle @ jclMM_b-US"") --",2025-02-13T05:25:19.628Z,173942431962800
"-- ending hand #142 --",2025-02-13T05:25:13.617Z,173942431361702
"""ieff @ FMYFFNvVDL"" collected 5.20 from pot with Three of a Kind, Q's (combination: Q♦, Q♣, Q♠, 10♣, 8♣)",2025-02-13T05:25:13.617Z,173942431361701
"""ieff @ FMYFFNvVDL"" shows a 10♣, Q♦.",2025-02-13T05:25:13.617Z,173942431361700
"""Gob @ bMuZUaFSt2"" calls 1.30",2025-02-13T05:25:12.809Z,173942431280900
"""ieff @ FMYFFNvVDL"" bets 1.30",2025-02-13T05:25:11.313Z,173942431131300
"River: 7♠, 8♣, Q♣, Q♠ [3♠]",2025-02-13T05:25:03.754Z,173942430375400
"""Gob @ bMuZUaFSt2"" checks",2025-02-13T05:25:02.913Z,173942430291300
"""ieff @ FMYFFNvVDL"" checks",2025-02-13T05:25:00.123Z,173942430012300
"Turn: 7♠, 8♣, Q♣ [Q♠]",2025-02-13T05:24:53.391Z,173942429339100
"""Gob @ bMuZUaFSt2"" calls 0.65",2025-02-13T05:24:52.576Z,173942429257600
"""ieff @ FMYFFNvVDL"" bets 0.65",2025-02-13T05:24:44.941Z,173942428494100
"Flop:  [7♠, 8♣, Q♣]",2025-02-13T05:24:27.018Z,173942426701800
"""ieff @ FMYFFNvVDL"" calls 0.60",2025-02-13T05:24:26.174Z,173942426617400
"""Kyle @ jclMM_b-US"" folds",2025-02-13T05:24:20.714Z,173942426071400
"""Gob @ bMuZUaFSt2"" raises to 0.60",2025-02-13T05:24:19.769Z,173942425976900
"""kciN @ 23ejw2m6D-"" folds",2025-02-13T05:24:16.247Z,173942425624700
"""ieff @ FMYFFNvVDL"" posts a big blind of 0.20",2025-02-13T05:24:14.878Z,173942425487807
"""Kyle @ jclMM_b-US"" posts a small blind of 0.10",2025-02-13T05:24:14.878Z,173942425487806
"Your hand is J♣, J♠",2025-02-13T05:24:14.878Z,173942425487802
