entry,at,order
"The admin approved the player ""Eli @ zx3OiOhUJQ"" participation with a stack of 85.25.",2025-02-15T07:06:30.021Z,173960319002100
"-- ending hand #249 --",2025-02-15T07:06:21.628Z,173960318162802
"""Gob @ bMuZUaFSt2"" collected 0.60 from pot",2025-02-15T07:06:21.628Z,173960318162801
"Uncalled bet of 0.40 returned to ""Gob @ bMuZUaFSt2""",2025-02-15T07:06:21.628Z,173960318162800
"""Tyler @ Gx5KZdldWM"" folds",2025-02-15T07:06:20.782Z,173960318078200
"The player ""Eli @ zx3OiOhUJQ"" requested a seat.",2025-02-15T07:06:19.412Z,173960317941200
"""glenny @ O4o2WcWz3Z"" folds",2025-02-15T07:06:18.868Z,173960317886800
"""Gob @ bMuZUaFSt2"" bets 0.40",2025-02-15T07:06:15.834Z,173960317583400
"Turn: 9♦, Q♥, Q♣ [A♣]",2025-02-15T07:06:11.217Z,173960317121700
"""Tyler @ Gx5KZdldWM"" checks",2025-02-15T07:06:10.340Z,173960317034000
"""glenny @ O4o2WcWz3Z"" checks",2025-02-15T07:06:09.312Z,173960316931200
"""Gob @ bMuZUaFSt2"" checks",2025-02-15T07:06:08.145Z,173960316814500
"Flop:  [9♦, Q♥, Q♣]",2025-02-15T07:06:06.880Z,173960316688000
"""glenny @ O4o2WcWz3Z"" checks",2025-02-15T07:06:06.054Z,173960316605400
"""Gob @ bMuZUaFSt2"" calls 0.20",2025-02-15T07:06:03.028Z,173960316302800
"The admin ""Gob @ bMuZUaFSt2"" enqueued the game stop on next hand.",2025-02-15T07:06:02.167Z,173960316216700
"""Tyler @ Gx5KZdldWM"" calls 0.20",2025-02-15T07:05:56.932Z,173960315693200
"""glenny @ O4o2WcWz3Z"" posts a big blind of 0.20",2025-02-15T07:05:53.659Z,173960315365906
"""Gob @ bMuZUaFSt2"" posts a small blind of 0.10",2025-02-15T07:05:53.659Z,173960315365905
"Your hand is A♠, 7♦",2025-02-15T07:05:53.659Z,173960315365902
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (47.12) | #7 ""glenny @ O4o2WcWz3Z"" (9.60) | #8 ""Tyler @ Gx5KZdldWM"" (17.33)",2025-02-15T07:05:53.659Z,173960315365901
"-- starting hand #249 (id: 6nsnmexi4ygj)  (No Limit Texas Hold'em) (dealer: ""Tyler @ Gx5KZdldWM"") --",2025-02-15T07:05:53.659Z,173960315365900
"The player ""Nick @ 23ejw2m6D-"" sit back with the stack of 30.26.",2025-02-15T07:05:50.592Z,173960315059200
"""Gob @ bMuZUaFSt2"" shows a 9♣, 2♣.",2025-02-15T07:05:49.222Z,173960314922200
"Undealt cards: 7♦, 3♦, 8♣ [10♥, 8♠]",2025-02-15T07:05:47.360Z,173960314736000
"""glenny @ O4o2WcWz3Z"" shows a 7♣, 7♥.",2025-02-15T07:05:46.831Z,173960314683100
"-- ending hand #248 --",2025-02-15T07:05:46.330Z,173960314633002
"""glenny @ O4o2WcWz3Z"" collected 0.90 from pot",2025-02-15T07:05:46.330Z,173960314633001
"Uncalled bet of 0.60 returned to ""glenny @ O4o2WcWz3Z""",2025-02-15T07:05:46.330Z,173960314633000
"""Gob @ bMuZUaFSt2"" folds",2025-02-15T07:05:45.519Z,173960314551900
"""glenny @ O4o2WcWz3Z"" bets 0.60",2025-02-15T07:05:42.659Z,173960314265900
"""Gob @ bMuZUaFSt2"" checks",2025-02-15T07:05:39.752Z,173960313975200
"Flop:  [7♦, 3♦, 8♣]",2025-02-15T07:05:38.164Z,173960313816400
"""Gob @ bMuZUaFSt2"" calls 0.40",2025-02-15T07:05:37.350Z,173960313735000
"""Tyler @ Gx5KZdldWM"" folds",2025-02-15T07:05:35.589Z,173960313558900
"""glenny @ O4o2WcWz3Z"" raises to 0.40",2025-02-15T07:05:32.255Z,173960313225500
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-15T07:05:28.743Z,173960312874308
"""Tyler @ Gx5KZdldWM"" posts a small blind of 0.10",2025-02-15T07:05:28.743Z,173960312874307
"Your hand is 9♣, 2♣",2025-02-15T07:05:28.743Z,173960312874304
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (47.52) | #7 ""glenny @ O4o2WcWz3Z"" (9.10) | #8 ""Tyler @ Gx5KZdldWM"" (17.43)",2025-02-15T07:05:28.743Z,173960312874303
"-- starting hand #248 (id: 6hrtcf041hfr)  (No Limit Texas Hold'em) (dealer: ""glenny @ O4o2WcWz3Z"") --",2025-02-15T07:05:28.743Z,173960312874302
"The player ""Eli @ zx3OiOhUJQ"" quits the game with a stack of 85.25.",2025-02-15T07:05:28.743Z,173960312874301
"The player ""Nick @ 23ejw2m6D-"" stand up with the stack of 30.26.",2025-02-15T07:05:28.743Z,173960312874300
"Undealt cards: 7♥, J♠, 7♦ [Q♠, 6♠]",2025-02-15T07:05:23.109Z,173960312310900
"""Nick @ 23ejw2m6D-"" shows a A♠, K♠.",2025-02-15T07:05:23.044Z,173960312304400
"-- ending hand #247 --",2025-02-15T07:05:22.129Z,173960312212902
"""Nick @ 23ejw2m6D-"" collected 2.60 from pot",2025-02-15T07:05:22.129Z,173960312212901
"Uncalled bet of 2.00 returned to ""Nick @ 23ejw2m6D-""",2025-02-15T07:05:22.129Z,173960312212900
"""glenny @ O4o2WcWz3Z"" folds",2025-02-15T07:05:21.311Z,173960312131100
"""Eli @ zx3OiOhUJQ"" folds",2025-02-15T07:05:07.606Z,173960310760600
"""Nick @ 23ejw2m6D-"" bets 2.00",2025-02-15T07:05:04.364Z,173960310436400
"""glenny @ O4o2WcWz3Z"" checks",2025-02-15T07:05:00.965Z,173960310096500
"Flop:  [7♥, J♠, 7♦]",2025-02-15T07:04:59.117Z,173960309911700
"""Tyler @ Gx5KZdldWM"" folds",2025-02-15T07:04:58.310Z,173960309831000
"""glenny @ O4o2WcWz3Z"" calls 0.80",2025-02-15T07:04:57.446Z,173960309744600
"""Eli @ zx3OiOhUJQ"" calls 0.80",2025-02-15T07:04:55.099Z,173960309509900
"""Gob @ bMuZUaFSt2"" folds",2025-02-15T07:04:53.889Z,173960309388900
"""Nick @ 23ejw2m6D-"" raises to 0.80",2025-02-15T07:04:53.040Z,173960309304000
"""Tyler @ Gx5KZdldWM"" posts a big blind of 0.20",2025-02-15T07:04:50.860Z,173960309086008
