entry,at,order
"""Tyler @ Gx5KZdldWM"" folds",2025-02-17T04:32:18.036Z,173976673803600
"""Gob @ Q5QT7x8NUm"" posts a big blind of 0.20",2025-02-17T04:32:15.803Z,173976673580305
"""Tyler @ Gx5KZdldWM"" posts a small blind of 0.10",2025-02-17T04:32:15.803Z,173976673580304
"Player stacks: #1 ""Tyler @ Gx5KZdldWM"" (28.65) | #6 ""Gob @ Q5QT7x8NUm"" (12.35)",2025-02-17T04:32:15.803Z,173976673580301
"-- starting hand #126 (id: 3ngvelazoo7n)  (No Limit Texas Hold'em) (dealer: ""Tyler @ Gx5KZdldWM"") --",2025-02-17T04:32:15.803Z,173976673580300
"-- ending hand #125 --",2025-02-17T04:32:09.896Z,173976672989602
"""Tyler @ Gx5KZdldWM"" collected 0.20 from pot",2025-02-17T04:32:09.896Z,173976672989601
"Uncalled bet of 0.10 returned to ""Tyler @ Gx5KZdldWM""",2025-02-17T04:32:09.896Z,173976672989600
"""Gob @ Q5QT7x8NUm"" folds",2025-02-17T04:32:09.086Z,173976672908600
"""Tyler @ Gx5KZdldWM"" posts a big blind of 0.20",2025-02-17T04:32:07.054Z,173976672705408
"""Gob @ Q5QT7x8NUm"" posts a small blind of 0.10",2025-02-17T04:32:07.054Z,173976672705407
"Player stacks: #1 ""Tyler @ Gx5KZdldWM"" (28.55) | #6 ""Gob @ Q5QT7x8NUm"" (12.45)",2025-02-17T04:32:07.054Z,173976672705404
"-- starting hand #125 (id: gne5vgfunibj)  (No Limit Texas Hold'em) (dealer: ""Gob @ Q5QT7x8NUm"") --",2025-02-17T04:32:07.054Z,173976672705403
"The player ""edwin @ M8D9HPGuve"" quits the game with a stack of 102.31.",2025-02-17T04:32:07.054Z,173976672705402
"The player ""larry @ 0D790GTBvz"" quits the game with a stack of 77.52.",2025-02-17T04:32:07.054Z,173976672705401
"The player ""joshy @ sWbFzgCRRa"" stand up with the stack of 35.60.",2025-02-17T04:32:07.054Z,173976672705400
"""Gob @ Q5QT7x8NUm"" shows a 5♦, A♦.",2025-02-17T04:32:03.394Z,173976672339400
"-- ending hand #124 --",2025-02-17T04:32:00.529Z,173976672052902
"""joshy @ sWbFzgCRRa"" collected 11.80 from pot with Two Pair, A's & 7's (combination: A♥, A♠, 7♦, 7♥, K♣)",2025-02-17T04:32:00.529Z,173976672052901
"""joshy @ sWbFzgCRRa"" shows a K♣, A♥.",2025-02-17T04:32:00.529Z,173976672052900
"""Tyler @ Gx5KZdldWM"" calls 2.00",2025-02-17T04:31:59.701Z,173976671970100
"""Gob @ Q5QT7x8NUm"" calls 2.00",2025-02-17T04:31:57.481Z,173976671748100
"""joshy @ sWbFzgCRRa"" bets 2.00",2025-02-17T04:31:52.582Z,173976671258200
"""Tyler @ Gx5KZdldWM"" checks",2025-02-17T04:31:45.735Z,173976670573500
"""Gob @ Q5QT7x8NUm"" checks",2025-02-17T04:31:43.272Z,173976670327200
"River: 7♦, 2♣, 7♥, A♠ [5♠]",2025-02-17T04:31:40.565Z,173976670056500
"""larry @ 0D790GTBvz"" folds",2025-02-17T04:31:39.753Z,173976669975300
"""Gob @ Q5QT7x8NUm"" calls 0.60",2025-02-17T04:31:38.841Z,173976669884100
"""edwin @ M8D9HPGuve"" folds",2025-02-17T04:31:37.352Z,173976669735200
"""joshy @ sWbFzgCRRa"" calls 0.60",2025-02-17T04:31:36.519Z,173976669651900
"""Tyler @ Gx5KZdldWM"" bets 0.60",2025-02-17T04:31:33.938Z,173976669393800
"""larry @ 0D790GTBvz"" checks",2025-02-17T04:31:30.916Z,173976669091600
"""Gob @ Q5QT7x8NUm"" checks",2025-02-17T04:31:30.043Z,173976669004300
"""edwin @ M8D9HPGuve"" checks",2025-02-17T04:31:25.930Z,173976668593000
"Turn: 7♦, 2♣, 7♥ [A♠]",2025-02-17T04:31:24.159Z,173976668415900
"""joshy @ sWbFzgCRRa"" checks",2025-02-17T04:31:23.317Z,173976668331700
"""Tyler @ Gx5KZdldWM"" checks",2025-02-17T04:31:21.474Z,173976668147400
"""larry @ 0D790GTBvz"" checks",2025-02-17T04:31:20.615Z,173976668061500
"""Gob @ Q5QT7x8NUm"" checks",2025-02-17T04:31:19.735Z,173976667973500
"""edwin @ M8D9HPGuve"" checks",2025-02-17T04:31:17.792Z,173976667779200
"Flop:  [7♦, 2♣, 7♥]",2025-02-17T04:31:16.292Z,173976667629200
"""edwin @ M8D9HPGuve"" calls 0.80",2025-02-17T04:31:15.474Z,173976667547400
"""joshy @ sWbFzgCRRa"" calls 0.80",2025-02-17T04:31:14.439Z,173976667443900
"""Tyler @ Gx5KZdldWM"" calls 0.80",2025-02-17T04:31:08.503Z,173976666850300
"""larry @ 0D790GTBvz"" calls 0.80",2025-02-17T04:31:06.957Z,173976666695700
"""Gob @ Q5QT7x8NUm"" raises to 0.80",2025-02-17T04:31:00.268Z,173976666026800
"""edwin @ M8D9HPGuve"" posts a big blind of 0.20",2025-02-17T04:30:55.079Z,173976665507910
"Dead Small Blind",2025-02-17T04:30:55.079Z,173976665507909
"Your hand is 10♥, 4♥",2025-02-17T04:30:55.079Z,173976665507908
"Player stacks: #1 ""Tyler @ Gx5KZdldWM"" (31.95) | #3 ""joshy @ sWbFzgCRRa"" (27.20) | #5 ""edwin @ M8D9HPGuve"" (103.11) | #6 ""Gob @ Q5QT7x8NUm"" (15.85) | #8 ""larry @ 0D790GTBvz"" (78.32)",2025-02-17T04:30:55.079Z,173976665507903
"-- starting hand #124 (id: kvgg9besvzmc)  (No Limit Texas Hold'em) (dealer: ""joshy @ sWbFzgCRRa"") --",2025-02-17T04:30:55.079Z,173976665507902
"The player ""Kyle @ jclMM_b-US"" quits the game with a stack of 30.70.",2025-02-17T04:30:55.079Z,173976665507901
"The player ""Nick @ 23ejw2m6D-"" stand up with the stack of 24.20.",2025-02-17T04:30:55.079Z,173976665507900
"""Gob @ Q5QT7x8NUm"" shows a 9♦, 3♦.",2025-02-17T04:30:53.054Z,173976665305400
"""joshy @ sWbFzgCRRa"" shows a 8♦, 9♥.",2025-02-17T04:30:50.248Z,173976665024800
"""edwin @ M8D9HPGuve"" shows a 8♠, 4♠.",2025-02-17T04:30:50.098Z,173976665009800
"""Nick @ 23ejw2m6D-"" shows a 5♣, 8♥.",2025-02-17T04:30:49.747Z,173976664974700
"-- ending hand #123 --",2025-02-17T04:30:49.365Z,173976664936502
"""edwin @ M8D9HPGuve"" collected 4.20 from pot",2025-02-17T04:30:49.365Z,173976664936501
"Uncalled bet of 2.10 returned to ""edwin @ M8D9HPGuve""",2025-02-17T04:30:49.365Z,173976664936500
"""Tyler @ Gx5KZdldWM"" folds",2025-02-17T04:30:48.485Z,173976664848500
"""Nick @ 23ejw2m6D-"" folds",2025-02-17T04:30:47.604Z,173976664760400
"""larry @ 0D790GTBvz"" folds",2025-02-17T04:30:46.697Z,173976664669700
"""Gob @ Q5QT7x8NUm"" folds",2025-02-17T04:30:45.782Z,173976664578200
"""edwin @ M8D9HPGuve"" bets 2.10",2025-02-17T04:30:43.691Z,173976664369100
"""joshy @ sWbFzgCRRa"" folds",2025-02-17T04:30:40.752Z,173976664075200
"River: 10♥, 10♠, A♠, 2♦ [J♣]",2025-02-17T04:30:36.857Z,173976663685700
"""Tyler @ Gx5KZdldWM"" checks",2025-02-17T04:30:36.015Z,173976663601500
"""Nick @ 23ejw2m6D-"" checks",2025-02-17T04:30:35.048Z,173976663504800
"""larry @ 0D790GTBvz"" checks",2025-02-17T04:30:34.076Z,173976663407600
"""Gob @ Q5QT7x8NUm"" checks",2025-02-17T04:30:33.196Z,173976663319600
"""edwin @ M8D9HPGuve"" checks",2025-02-17T04:30:31.114Z,173976663111400
"""joshy @ sWbFzgCRRa"" checks",2025-02-17T04:30:29.517Z,173976662951700
"Turn: 10♥, 10♠, A♠ [2♦]",2025-02-17T04:30:28.041Z,173976662804100
"""Tyler @ Gx5KZdldWM"" checks",2025-02-17T04:30:27.186Z,173976662718600
"""Nick @ 23ejw2m6D-"" checks",2025-02-17T04:30:25.963Z,173976662596300
"""larry @ 0D790GTBvz"" checks",2025-02-17T04:30:25.044Z,173976662504400
"""Gob @ Q5QT7x8NUm"" checks",2025-02-17T04:30:24.146Z,173976662414600
"""edwin @ M8D9HPGuve"" checks",2025-02-17T04:30:22.910Z,173976662291000
"""Kyle @ jclMM_b-US"" folds",2025-02-17T04:30:21.929Z,173976662192900
"""joshy @ sWbFzgCRRa"" checks",2025-02-17T04:30:19.154Z,173976661915400
"Flop:  [10♥, 10♠, A♠]",2025-02-17T04:30:17.319Z,173976661731900
"""edwin @ M8D9HPGuve"" calls 0.60",2025-02-17T04:30:16.464Z,173976661646400
"""Kyle @ jclMM_b-US"" calls 0.60",2025-02-17T04:30:15.470Z,173976661547000
