entry,at,order
"""joshy @ Z_WOxDxS2G"" posts a big blind of 0.20",2025-02-04T08:04:52.294Z,173865629229408
"""Gob @ bMuZUaFSt2"" posts a small blind of 0.10",2025-02-04T08:04:52.294Z,173865629229407
"Your hand is K♥, Q♠",2025-02-04T08:04:52.294Z,173865629229402
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (35.30) | #2 ""joshy @ Z_WOxDxS2G"" (16.95) | #3 ""edwin @ 9M0NBGM9an"" (38.30) | #5 ""glenny @ O4o2WcWz3Z"" (65.35) | #7 ""Eli @ zx3OiOhUJQ"" (64.55)",2025-02-04T08:04:52.294Z,173865629229401
"-- starting hand #158 (id: fwzbzlxgomao)  (No Limit Texas Hold'em) (dealer: ""Eli @ zx3OiOhUJQ"") --",2025-02-04T08:04:52.294Z,173865629229400
"""Gob @ bMuZUaFSt2"" shows a Q♠.",2025-02-04T08:04:49.173Z,173865628917300
"""Gob @ bMuZUaFSt2"" shows a 2♦.",2025-02-04T08:04:48.720Z,173865628872000
"""Eli @ zx3OiOhUJQ"" shows a 9♥.",2025-02-04T08:04:48.627Z,173865628862700
"Undealt cards: 2♠, 8♦, 5♣ [9♣, 4♠]",2025-02-04T08:04:45.419Z,173865628541900
"""Eli @ zx3OiOhUJQ"" shows a 8♠.",2025-02-04T08:04:45.095Z,173865628509500
"""joshy @ Z_WOxDxS2G"" shows a 6♦, A♥.",2025-02-04T08:04:44.497Z,173865628449700
"-- ending hand #157 --",2025-02-04T08:04:44.255Z,173865628425502
"""Eli @ zx3OiOhUJQ"" collected 4.00 from pot",2025-02-04T08:04:44.255Z,173865628425501
"Uncalled bet of 1.20 returned to ""Eli @ zx3OiOhUJQ""",2025-02-04T08:04:44.255Z,173865628425500
"""glenny @ O4o2WcWz3Z"" folds",2025-02-04T08:04:43.353Z,173865628335300
"""edwin @ 9M0NBGM9an"" folds",2025-02-04T08:04:42.348Z,173865628234800
"""joshy @ Z_WOxDxS2G"" folds",2025-02-04T08:04:41.369Z,173865628136900
"""Gob @ bMuZUaFSt2"" folds",2025-02-04T08:04:36.500Z,173865627650000
"""Eli @ zx3OiOhUJQ"" bets 1.20",2025-02-04T08:04:33.420Z,173865627342000
"Flop:  [2♠, 8♦, 5♣]",2025-02-04T08:04:26.013Z,173865626601300
"""Gob @ bMuZUaFSt2"" calls 0.80",2025-02-04T08:04:25.149Z,173865626514900
"""Eli @ zx3OiOhUJQ"" calls 0.80",2025-02-04T08:04:24.223Z,173865626422300
"""glenny @ O4o2WcWz3Z"" calls 0.80",2025-02-04T08:04:23.093Z,173865626309300
"""edwin @ 9M0NBGM9an"" calls 0.80",2025-02-04T08:04:22.108Z,173865626210800
"""joshy @ Z_WOxDxS2G"" raises to 0.80",2025-02-04T08:04:20.144Z,173865626014400
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-04T08:04:00.010Z,173865624001008
"""Eli @ zx3OiOhUJQ"" posts a small blind of 0.10",2025-02-04T08:04:00.010Z,173865624001007
"Your hand is Q♠, 2♦",2025-02-04T08:04:00.010Z,173865624001002
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (36.10) | #2 ""joshy @ Z_WOxDxS2G"" (17.75) | #3 ""edwin @ 9M0NBGM9an"" (39.10) | #5 ""glenny @ O4o2WcWz3Z"" (66.15) | #7 ""Eli @ zx3OiOhUJQ"" (61.35)",2025-02-04T08:04:00.010Z,173865624001001
"-- starting hand #157 (id: pwgco421biwr)  (No Limit Texas Hold'em) (dealer: ""glenny @ O4o2WcWz3Z"") --",2025-02-04T08:04:00.010Z,173865624001000
"""Eli @ zx3OiOhUJQ"" shows a 3♣.",2025-02-04T08:03:58.278Z,173865623827800
"""joshy @ Z_WOxDxS2G"" shows a 4♣, 5♠.",2025-02-04T08:03:55.894Z,173865623589400
"-- ending hand #156 --",2025-02-04T08:03:55.667Z,173865623566702
"""Eli @ zx3OiOhUJQ"" collected 1.80 from pot",2025-02-04T08:03:55.667Z,173865623566701
"Uncalled bet of 1.20 returned to ""Eli @ zx3OiOhUJQ""",2025-02-04T08:03:55.667Z,173865623566700
"""glenny @ O4o2WcWz3Z"" folds",2025-02-04T08:03:54.838Z,173865623483800
"""joshy @ Z_WOxDxS2G"" folds",2025-02-04T08:03:53.536Z,173865623353600
"""Eli @ zx3OiOhUJQ"" bets 1.20",2025-02-04T08:03:50.731Z,173865623073100
"""glenny @ O4o2WcWz3Z"" checks",2025-02-04T08:03:45.309Z,173865622530900
"River: 4♦, A♣, J♠, 3♠ [8♥]",2025-02-04T08:03:42.966Z,173865622296600
"""joshy @ Z_WOxDxS2G"" checks",2025-02-04T08:03:42.146Z,173865622214600
"""Eli @ zx3OiOhUJQ"" checks",2025-02-04T08:03:40.906Z,173865622090600
"""glenny @ O4o2WcWz3Z"" checks",2025-02-04T08:03:37.471Z,173865621747100
"Turn: 4♦, A♣, J♠ [3♠]",2025-02-04T08:03:36.137Z,173865621613700
"""joshy @ Z_WOxDxS2G"" checks",2025-02-04T08:03:35.265Z,173865621526500
"""Eli @ zx3OiOhUJQ"" checks",2025-02-04T08:03:33.996Z,173865621399600
"""glenny @ O4o2WcWz3Z"" checks",2025-02-04T08:03:31.815Z,173865621181500
"Flop:  [4♦, A♣, J♠]",2025-02-04T08:03:30.238Z,173865621023800
"""Eli @ zx3OiOhUJQ"" calls 0.60",2025-02-04T08:03:29.425Z,173865620942500
"""glenny @ O4o2WcWz3Z"" calls 0.60",2025-02-04T08:03:28.410Z,173865620841000
"""edwin @ 9M0NBGM9an"" folds",2025-02-04T08:03:26.088Z,173865620608800
"""joshy @ Z_WOxDxS2G"" raises to 0.60",2025-02-04T08:03:25.167Z,173865620516700
"""Gob @ bMuZUaFSt2"" folds",2025-02-04T08:03:17.968Z,173865619796800
"""Eli @ zx3OiOhUJQ"" posts a big blind of 0.20",2025-02-04T08:03:16.231Z,173865619623108
"""glenny @ O4o2WcWz3Z"" posts a small blind of 0.10",2025-02-04T08:03:16.231Z,173865619623107
"Your hand is 8♦, 2♥",2025-02-04T08:03:16.231Z,173865619623102
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (36.10) | #2 ""joshy @ Z_WOxDxS2G"" (18.35) | #3 ""edwin @ 9M0NBGM9an"" (39.10) | #5 ""glenny @ O4o2WcWz3Z"" (66.75) | #7 ""Eli @ zx3OiOhUJQ"" (60.15)",2025-02-04T08:03:16.231Z,173865619623101
"-- starting hand #156 (id: cullusyzqe0a)  (No Limit Texas Hold'em) (dealer: ""edwin @ 9M0NBGM9an"") --",2025-02-04T08:03:16.231Z,173865619623100
