entry,at,order
"""Nick @ 23ejw2m6D-"" folds",2025-02-18T05:54:51.375Z,173985809137500
"""edwin @ 9M0NBGM9an"" posts a big blind of 0.20",2025-02-18T05:54:31.456Z,173985807145608
"""Gob @ _3BjyNkP45"" posts a small blind of 0.10",2025-02-18T05:54:31.456Z,173985807145607
"Your hand is K♣, 3♣",2025-02-18T05:54:31.456Z,173985807145603
"Player stacks: #1 ""edwin @ 9M0NBGM9an"" (144.71) | #2 ""Nick @ 23ejw2m6D-"" (38.99) | #5 ""Glenny @ _ID7L-y9Ic"" (22.98) | #6 ""Gob @ _3BjyNkP45"" (59.01)",2025-02-18T05:54:31.456Z,173985807145602
"-- starting hand #168 (id: sbmlrksk8isx)  (No Limit Texas Hold'em) (dealer: ""Glenny @ _ID7L-y9Ic"") --",2025-02-18T05:54:31.456Z,173985807145601
"The player ""joshy @ sWbFzgCRRa"" stand up with the stack of 53.29.",2025-02-18T05:54:31.456Z,173985807145600
"""Nick @ 23ejw2m6D-"" shows a J♠.",2025-02-18T05:54:27.996Z,173985806799600
"""Gob @ _3BjyNkP45"" shows a K♦, J♣.",2025-02-18T05:54:27.779Z,173985806777900
"""joshy @ sWbFzgCRRa"" shows a 7♣, 3♠.",2025-02-18T05:54:27.297Z,173985806729700
"-- ending hand #167 --",2025-02-18T05:54:26.438Z,173985806643802
"""Gob @ _3BjyNkP45"" collected 22.00 from pot",2025-02-18T05:54:26.438Z,173985806643801
"Uncalled bet of 22.00 returned to ""Gob @ _3BjyNkP45""",2025-02-18T05:54:26.438Z,173985806643800
"""Nick @ 23ejw2m6D-"" folds",2025-02-18T05:54:25.629Z,173985806562900
"""Gob @ _3BjyNkP45"" raises to 30.00",2025-02-18T05:54:20.775Z,173985806077500
"""Nick @ 23ejw2m6D-"" raises to 8.00",2025-02-18T05:54:12.728Z,173985805272800
"""Gob @ _3BjyNkP45"" bets 3.00",2025-02-18T05:54:09.564Z,173985804956400
"River: J♥, Q♣, J♦, A♠ [K♠]",2025-02-18T05:54:02.262Z,173985804226200
"""Nick @ 23ejw2m6D-"" calls 1.50",2025-02-18T05:54:01.435Z,173985804143500
"""edwin @ 9M0NBGM9an"" folds",2025-02-18T05:54:00.281Z,173985804028100
"""joshy @ sWbFzgCRRa"" folds",2025-02-18T05:53:59.366Z,173985803936600
"""Gob @ _3BjyNkP45"" bets 1.50",2025-02-18T05:53:58.359Z,173985803835900
"Turn: J♥, Q♣, J♦ [A♠]",2025-02-18T05:53:53.236Z,173985803323600
"""Nick @ 23ejw2m6D-"" checks",2025-02-18T05:53:52.424Z,173985803242400
"""edwin @ 9M0NBGM9an"" checks",2025-02-18T05:53:51.491Z,173985803149100
"""joshy @ sWbFzgCRRa"" checks",2025-02-18T05:53:50.470Z,173985803047000
"""Gob @ _3BjyNkP45"" checks",2025-02-18T05:53:49.536Z,173985802953600
"""Glenny @ _ID7L-y9Ic"" folds",2025-02-18T05:53:46.831Z,173985802683100
"Flop:  [J♥, Q♣, J♦]",2025-02-18T05:53:44.252Z,173985802425200
"""Gob @ _3BjyNkP45"" calls 0.60",2025-02-18T05:53:43.441Z,173985802344100
"""Glenny @ _ID7L-y9Ic"" calls 0.60",2025-02-18T05:53:42.156Z,173985802215600
"""Nick @ 23ejw2m6D-"" calls 0.60",2025-02-18T05:53:41.230Z,173985802123000
"""edwin @ 9M0NBGM9an"" calls 0.60",2025-02-18T05:53:40.325Z,173985802032500
"""joshy @ sWbFzgCRRa"" raises to 0.60",2025-02-18T05:53:39.338Z,173985801933800
"""Gob @ _3BjyNkP45"" posts a big blind of 0.20",2025-02-18T05:53:33.805Z,173985801380508
"""Glenny @ _ID7L-y9Ic"" posts a small blind of 0.10",2025-02-18T05:53:33.805Z,173985801380507
"Your hand is 3♣, 4♦",2025-02-18T05:53:33.805Z,173985801380502
"Player stacks: #1 ""edwin @ 9M0NBGM9an"" (145.31) | #2 ""Nick @ 23ejw2m6D-"" (49.09) | #5 ""Glenny @ _ID7L-y9Ic"" (23.58) | #6 ""Gob @ _3BjyNkP45"" (47.11) | #9 ""joshy @ sWbFzgCRRa"" (53.89)",2025-02-18T05:53:33.805Z,173985801380501
"-- starting hand #167 (id: iszkyrr2khyw)  (No Limit Texas Hold'em) (dealer: ""Nick @ 23ejw2m6D-"") --",2025-02-18T05:53:33.805Z,173985801380500
"""Nick @ 23ejw2m6D-"" shows a Q♦, A♣.",2025-02-18T05:53:29.189Z,173985800918900
"""joshy @ sWbFzgCRRa"" shows a 8♥, 4♠.",2025-02-18T05:53:27.615Z,173985800761500
"-- ending hand #166 --",2025-02-18T05:53:26.760Z,173985800676002
